Time,Humidity,Temperature,Voltage,Current,Power,fan,heat
10.0,29.5,23.8,12.96,12.8,163.41,0,0
20.0,29.4,23.8,12.96,12.8,165.85,0,0
30.0,29.8,24.8,12.95,12.99,165.85,0,0
40.0,28.5,25.5,12.94,12.99,163.41,0,0
50.0,27.8,26.0,12.93,12.93,168.29,0,0
60.0,29.1,26.4,12.92,12.8,163.41,0,0
70.0,33.0,28.2,12.92,12.99,169.51,0,0
80.0,36.6,30.6,12.91,12.99,169.51,0,0
90.0,43.4,34.8,12.9,13.29,171.95,0,0
100.0,43.3,34.6,12.9,13.41,169.51,0,0
110.0,44.2,36.3,12.89,13.17,171.95,1,0
120.0,44.2,37.5,12.77,12.8,165.85,1,0
130.0,56.5,36.8,12.76,12.8,165.85,1,0
140.0,55.6,37.5,12.75,12.93,163.41,1,0
150.0,54.7,38.0,12.74,12.93,165.85,1,0
160.0,53.8,38.5,12.73,13.41,163.41,1,0
170.0,53.0,38.9,12.72,13.17,165.85,1,0
180.0,52.1,39.2,12.71,12.62,163.41,1,0
190.0,51.7,39.5,12.7,12.8,163.41,1,0
200.0,51.3,39.9,12.69,12.93,162.2,1,0
210.0,50.8,40.1,12.68,12.99,159.76,1,0
220.0,50.2,40.4,12.67,12.68,159.76,1,0
230.0,49.8,40.6,12.66,12.62,159.76,1,0
240.0,49.5,40.8,12.65,12.5,159.76,1,0
250.0,49.3,40.9,12.64,12.68,159.76,1,0
260.0,49.1,41.0,12.64,12.68,163.41,1,0
270.0,49.1,41.1,12.62,12.62,159.76,1,0
280.0,48.6,41.3,12.62,12.8,159.76,1,0
290.0,48.4,41.4,12.61,12.8,162.2,1,0
300.0,48.3,41.5,12.6,12.62,163.41,1,0
310.0,48.3,41.7,12.59,12.99,159.76,1,0
320.0,48.0,41.7,12.58,12.68,157.32,1,0
330.0,47.8,41.8,12.58,12.8,159.76,1,0
340.0,47.6,41.9,12.57,12.68,159.76,1,0
350.0,47.3,42.1,12.56,12.62,157.32,1,0
360.0,47.2,42.1,12.55,12.68,157.32,1,0
370.0,47.1,42.2,12.54,12.8,159.76,1,0
380.0,47.2,42.2,12.53,12.5,156.1,1,0
390.0,47.0,42.3,12.52,12.5,157.32,1,0
400.0,46.9,42.3,12.5,12.68,157.32,1,0
410.0,47.2,42.3,12.49,12.5,153.66,1,0
420.0,47.0,42.4,12.49,12.38,157.32,1,0
430.0,47.0,42.5,12.48,12.62,157.32,1,0
440.0,46.9,42.5,12.47,12.62,157.32,1,0
450.0,46.7,42.6,12.45,12.62,162.2,1,0
460.0,46.7,42.6,12.44,12.5,157.32,1,0
470.0,46.7,42.7,12.43,12.38,157.32,1,0
480.0,46.5,42.7,12.42,12.32,153.66,1,0
490.0,46.4,42.7,12.41,12.5,156.1,1,0
500.0,46.2,42.7,12.4,12.68,156.1,1,0
510.0,46.1,42.7,12.39,12.62,157.32,1,0
520.0,45.9,42.7,12.38,12.5,153.66,1,0
530.0,46.0,42.7,12.37,12.2,152.44,1,0
540.0,46.0,42.7,12.36,12.32,156.1,1,0
550.0,46.1,42.8,12.34,12.5,152.44,1,0
560.0,46.2,42.8,12.33,12.5,152.44,1,0
570.0,45.8,42.8,12.32,12.38,156.1,1,0
580.0,45.8,42.8,12.31,12.5,150.0,1,0
590.0,45.8,42.9,12.3,12.38,152.44,1,0
600.0,45.8,42.9,12.29,12.62,152.44,1,0
610.0,45.8,42.9,12.28,12.32,156.1,1,0
620.0,45.8,42.9,12.26,12.68,152.44,1,0
630.0,45.9,42.9,12.25,12.38,150.0,1,0
640.0,46.0,42.9,12.24,12.5,150.0,1,0
650.0,46.0,43.0,12.23,12.32,152.44,1,0
660.0,45.9,43.0,12.22,12.5,153.66,1,0
670.0,45.6,43.0,12.2,12.5,150.0,1,0
680.0,45.6,42.9,12.19,12.32,152.44,1,0
690.0,45.6,43.0,12.18,12.38,150.0,1,0
700.0,45.5,42.9,12.17,12.38,150.0,1,0
710.0,45.6,43.0,12.16,12.38,150.0,1,0
720.0,45.6,42.9,12.15,12.07,153.66,1,0
730.0,45.8,43.0,12.13,12.07,146.34,1,0
740.0,45.5,43.0,12.12,12.2,150.0,1,0
750.0,45.3,43.0,12.1,12.38,147.56,1,0
760.0,45.0,42.9,12.1,12.07,150.0,1,0
770.0,44.9,42.8,12.08,12.2,147.56,1,0
780.0,44.8,42.8,12.07,12.01,147.56,1,0
790.0,44.7,42.8,12.06,12.32,147.56,1,0
800.0,44.7,42.9,12.04,12.2,143.9,1,0
810.0,44.7,42.8,12.03,12.07,146.34,1,0
820.0,44.6,42.7,12.02,12.2,146.34,1,0
830.0,44.5,42.8,12.0,12.07,147.56,1,0
840.0,44.1,42.7,11.99,12.2,146.34,1,0
850.0,44.1,42.7,11.98,12.01,143.9,1,0
860.0,44.1,42.7,11.96,12.07,146.34,1,0
870.0,44.1,42.7,11.95,12.38,143.9,1,0
880.0,44.2,42.7,11.94,11.89,143.9,1,0
890.0,44.2,42.7,11.92,12.07,143.9,1,0
900.0,44.1,42.7,11.91,12.07,143.9,1,0
910.0,43.8,42.7,11.9,11.89,137.8,1,0
920.0,43.7,42.7,11.88,12.07,141.46,1,0
930.0,43.5,42.7,11.87,12.01,141.46,1,0
940.0,43.3,42.6,11.86,12.2,141.46,1,0
950.0,43.3,42.6,11.84,11.89,143.9,1,0
960.0,43.3,42.6,11.82,12.01,141.46,1,0
970.0,43.3,42.6,11.81,12.01,141.46,1,0
980.0,43.1,42.6,11.79,12.01,140.24,1,0
990.0,42.5,42.6,11.78,11.89,141.46,1,0
1000.0,42.3,42.5,11.76,11.71,137.8,1,0
1010.0,42.0,42.5,11.74,11.59,137.8,1,0
1020.0,41.8,42.5,11.73,11.89,135.37,1,0
1030.0,41.5,42.5,11.71,12.01,141.46,1,0
1040.0,40.8,42.4,11.7,11.89,140.24,1,0
1050.0,40.7,42.4,11.68,11.89,140.24,1,0
1060.0,40.4,42.4,11.66,11.4,137.8,1,0
1070.0,39.7,42.3,11.64,11.89,134.15,1,0
1080.0,38.9,42.2,11.62,11.71,137.8,1,0
1090.0,38.9,42.2,11.6,11.52,134.15,1,0
1100.0,38.5,42.2,11.59,11.52,134.15,1,0
1110.0,38.1,42.2,11.56,11.52,135.37,1,0
1120.0,37.8,42.2,11.54,11.4,135.37,1,0
1130.0,37.3,42.2,11.52,11.59,131.71,1,0
1140.0,36.6,42.2,11.5,11.4,131.71,1,0
1150.0,35.1,42.2,11.48,11.52,131.71,1,0
1160.0,35.0,42.1,11.45,11.28,131.71,1,0
1170.0,34.2,42.2,11.43,11.52,128.05,1,0
1180.0,33.1,42.2,11.4,11.52,131.71,1,0
1190.0,31.9,42.2,11.38,11.4,128.05,1,0
1200.0,30.4,42.2,11.34,11.4,131.71,1,0
1210.0,29.3,42.2,11.32,11.4,129.27,1,0
1220.0,28.1,42.2,11.28,11.59,129.27,1,0
1230.0,26.9,42.2,11.25,11.4,124.39,1,0
1240.0,25.8,42.3,11.21,11.1,124.39,1,0
1250.0,24.7,42.3,11.16,11.22,125.61,1,0
1260.0,23.7,42.3,11.11,11.22,121.95,1,0
1270.0,22.9,42.3,11.06,11.1,124.39,1,0
1280.0,22.1,42.3,10.99,11.1,119.51,1,0
1290.0,21.5,42.3,10.91,10.91,119.51,1,0
1300.0,20.9,42.3,10.8,10.67,115.85,1,0
1310.0,20.5,42.4,10.62,10.67,112.2,1,0
1320.0,20.1,42.4,9.92,9.82,96.34,1,0
1330.0,19.8,42.4,7.57,7.32,56.1,1,0
