Time,Humidity,Temperature,Voltage,Current,Power,fan,heat
1130.0,20.2,35.3,11.9,12.68,152.44,1,0
1140.0,19.6,33.6,11.88,13.17,156.1,0,0
1150.0,19.9,32.9,11.94,13.11,157.32,0,0
1160.0,20.3,34.3,11.94,13.11,156.1,0,0
1170.0,20.3,35.1,11.93,13.11,156.1,1,0
1180.0,20.2,35.6,11.85,12.8,156.1,1,0
1190.0,19.9,33.6,11.83,12.8,153.66,0,0
1200.0,19.9,33.5,11.9,13.11,153.66,0,0
1210.0,20.3,34.9,11.89,12.8,156.1,0,0
1220.0,20.3,35.6,11.88,12.68,153.66,1,0
1230.0,20.2,36.0,11.8,12.8,153.66,1,0
1240.0,19.8,34.6,11.79,12.8,150.0,0,0
1250.0,20.0,33.8,11.85,12.93,153.66,0,0
1260.0,20.3,35.0,11.84,12.68,153.66,0,0
1270.0,20.3,35.7,11.83,12.8,150.0,1,0
1280.0,20.3,36.1,11.76,13.17,150.0,1,0
1290.0,19.9,34.7,11.74,12.93,152.44,0,0
1300.0,20.5,35.2,11.79,13.11,152.44,1,0
1310.0,20.5,35.2,11.7,13.11,150.0,1,0
1320.0,20.3,33.8,11.68,12.99,146.34,0,0
1330.0,20.4,33.8,11.74,12.93,150.0,0,0
1340.0,20.6,35.1,11.74,12.68,152.44,1,0
1350.0,20.6,35.8,11.63,12.68,147.56,1,0
1360.0,20.3,34.7,11.58,12.8,146.34,0,0
1370.0,20.7,34.1,11.65,12.93,150.0,0,0
1380.0,20.9,35.3,11.64,13.11,150.0,1,0
1390.0,20.8,36.0,11.34,12.62,140.24,1,0
1400.0,20.6,34.9,9.35,10.43,97.56,0,0
1410.0,20.9,34.3,9.56,10.61,100.0,0,0
1420.0,21.2,35.4,9.59,10.67,102.44,1,0
1430.0,21.1,36.0,9.45,10.3,97.56,1,0
1440.0,20.8,35.2,9.44,10.18,97.56,1,0
1450.0,21.0,34.8,9.42,10.18,100.0,0,0
1460.0,21.1,34.7,9.58,10.61,100.0,0,0
1470.0,21.3,35.8,9.57,10.49,102.44,1,0
1480.0,21.2,36.4,9.4,10.43,96.34,1,0
1490.0,20.7,35.6,9.36,10.3,93.9,1,0
1500.0,21.0,35.2,9.32,10.0,93.9,1,0
