Time,Humidity,Temperature,Voltage,FanStatus
2019-10-02 23:51:16.943356,64.00,24.00,12.83,0
2019-10-03 00:11:17.083839,64.00,24.00,12.78,0
2019-10-03 00:31:17.207420,64.00,24.00,12.83,0
2019-10-03 00:51:17.281879,64.00,24.00,12.81,0
2019-10-03 01:11:17.450357,64.00,24.00,12.81,0
2019-10-03 01:31:17.653007,64.00,24.00,12.83,0
2019-10-03 01:51:17.790506,64.00,24.00,12.81,0
2019-10-03 02:11:17.933994,64.00,24.00,12.83,0
2019-10-03 02:31:18.105190,64.00,24.00,12.83,0
2019-10-03 02:51:18.245834,64.00,24.00,12.83,0
2019-10-03 03:11:18.448547,64.00,24.00,12.83,0
2019-10-03 03:31:18.556198,64.00,24.00,12.83,0
2019-10-03 03:51:18.725028,64.00,24.00,12.83,0
2019-10-03 04:11:18.859554,64.00,24.00,12.83,0
2019-10-03 04:31:18.880800,64.00,24.00,12.83,0
2019-10-03 04:51:19.083443,64.00,24.00,12.81,0
2019-10-03 05:11:19.248834,64.00,24.00,12.81,0
2019-10-03 05:31:19.390994,64.00,24.00,12.81,0
2019-10-03 05:51:19.532945,64.00,24.00,12.83,0
2019-10-03 06:11:19.692571,64.00,24.00,12.81,0
2019-10-03 06:31:19.851792,64.00,24.00,12.83,0
2019-10-03 06:51:19.993469,64.00,24.00,12.81,0
2019-10-03 07:11:20.143109,64.00,24.00,12.83,0
2019-10-03 07:31:20.337960,64.00,24.00,12.81,0
2019-10-03 07:51:20.407866,64.00,24.00,12.83,0
2019-10-03 08:11:20.529673,64.00,24.00,12.81,0
2019-10-03 08:31:20.732337,64.00,24.00,12.81,0
2019-10-03 08:51:20.844361,64.00,24.00,12.81,0
2019-10-03 09:11:20.991285,64.00,24.00,12.83,0
2019-10-03 09:31:21.022085,64.00,24.00,12.78,0
2019-10-03 09:51:21.224778,64.00,24.00,12.81,0
2019-10-03 10:11:21.427535,64.00,24.00,12.81,0
2019-10-03 10:31:21.627096,64.00,24.00,12.81,0
2019-10-03 10:51:21.747715,64.00,24.00,12.81,0
2019-10-03 11:11:21.894754,64.00,24.00,12.78,0
