Time,Humidity,Temperature,Voltage,Current,Power,fan,heat
10.0,39.8,24.1,12.9,13.72,175.61,0,0
20.0,40.6,24.2,12.88,14.09,175.61,0,0
30.0,47.1,27.0,12.86,14.21,179.27,0,0
40.0,52.6,32.6,12.84,13.72,178.05,0,0
50.0,52.4,32.3,12.83,13.72,179.27,0,0
60.0,55.0,33.8,12.81,13.72,175.61,0,0
70.0,55.9,34.7,12.8,14.02,175.61,0,0
80.0,54.1,35.7,12.78,14.09,179.27,1,0
90.0,54.0,35.6,12.77,13.72,181.71,1,0
100.0,53.2,35.9,12.75,13.9,178.05,1,0
110.0,52.7,36.1,12.74,14.02,178.05,1,0
120.0,52.3,36.3,12.72,13.78,175.61,1,0
130.0,52.0,36.5,12.71,13.78,179.27,1,0
140.0,51.7,36.6,12.7,13.72,175.61,1,0
150.0,50.9,36.8,12.68,13.9,174.39,1,0
160.0,50.6,36.9,12.66,13.72,178.05,1,0
170.0,50.6,36.9,12.66,13.78,178.05,1,0
180.0,50.0,37.1,12.64,13.72,171.95,1,0
190.0,50.1,37.2,12.63,13.78,178.05,1,0
200.0,49.8,37.3,12.62,14.02,178.05,1,0
210.0,49.4,37.6,12.6,14.02,175.61,1,0
220.0,49.1,37.6,12.59,14.09,171.95,1,0
230.0,49.1,37.6,12.58,13.78,178.05,1,0
240.0,48.9,37.7,12.57,13.78,174.39,1,0
250.0,48.3,37.9,12.56,13.72,171.95,1,0
260.0,48.2,37.8,12.55,13.48,174.39,1,0
270.0,48.0,37.9,12.54,13.6,171.95,1,0
280.0,47.9,37.9,12.53,13.6,169.51,1,0
290.0,47.8,38.0,12.52,13.78,169.51,1,0
300.0,47.7,38.1,12.51,13.72,174.39,1,0
310.0,47.4,38.2,12.5,13.78,169.51,1,0
320.0,47.4,38.2,12.48,13.6,171.95,1,0
330.0,47.1,38.3,12.47,13.78,168.29,1,0
340.0,46.9,38.3,12.47,13.6,171.95,1,0
350.0,46.9,38.3,12.46,13.72,169.51,1,0
