time,bus_voltage,bus_current,power
Wed Sep 11 17:13:37 2019,11.512,0.0,0.0
Wed Sep 11 17:18:37 2019,11.508,0.0,0.0
Wed Sep 11 17:23:37 2019,11.496,0.0,0.0
Wed Sep 11 17:28:37 2019,11.516,0.0,0.0
Wed Sep 11 17:33:37 2019,11.512,0.0,0.0
Wed Sep 11 17:38:37 2019,11.508,0.0,0.0
Wed Sep 11 17:43:38 2019,11.5,0.0,0.0
Wed Sep 11 17:48:38 2019,11.496,0.0,0.0
Wed Sep 11 17:53:38 2019,11.476,0.0,0.0
Wed Sep 11 17:58:38 2019,11.476,0.0,0.0
Wed Sep 11 18:03:38 2019,11.452,0.0,0.0
Wed Sep 11 18:08:38 2019,11.448,0.0,0.0
Wed Sep 11 18:13:38 2019,11.428,0.0,0.0
Wed Sep 11 18:18:38 2019,11.416,0.0,0.0
Wed Sep 11 18:23:38 2019,11.404,0.0,0.0
Wed Sep 11 18:28:38 2019,11.388,0.0,0.0
Wed Sep 11 18:33:38 2019,11.38,0.0,0.0
Wed Sep 11 18:38:38 2019,11.388,0.0,0.0
Wed Sep 11 18:43:38 2019,11.368,0.0,0.0
Wed Sep 11 18:48:38 2019,11.352,0.0,0.0
Wed Sep 11 18:53:39 2019,11.348,0.0,0.0
Wed Sep 11 18:58:39 2019,11.328,0.0,0.0
Wed Sep 11 19:03:39 2019,11.324,0.0,0.0
Wed Sep 11 19:08:39 2019,11.316,0.0,0.0
Wed Sep 11 19:13:39 2019,11.272,0.0,0.0
Wed Sep 11 19:18:39 2019,11.264,0.0,0.0
Wed Sep 11 19:23:39 2019,11.24,0.0,0.0
Wed Sep 11 19:28:39 2019,11.232,0.0,0.0
Wed Sep 11 19:33:39 2019,11.216,0.0,0.0
Wed Sep 11 19:38:39 2019,11.2,0.0,0.0
Wed Sep 11 19:43:39 2019,11.184,0.0,0.0
Wed Sep 11 19:48:39 2019,11.164,0.0,0.0
Wed Sep 11 19:53:39 2019,11.176,0.0,0.0
Wed Sep 11 19:58:40 2019,11.168,0.0,0.0
Wed Sep 11 20:03:40 2019,11.152,0.0,0.0
Wed Sep 11 20:08:40 2019,11.132,0.0,0.0
Wed Sep 11 20:13:40 2019,11.12,0.0,0.0
Wed Sep 11 20:18:40 2019,11.108,0.0,0.0
Wed Sep 11 20:23:40 2019,11.092,0.0,0.0
Wed Sep 11 20:28:40 2019,11.048,0.0,0.0
Wed Sep 11 20:33:40 2019,11.028,0.0,0.0
Wed Sep 11 20:38:40 2019,11.016,0.0,0.0
Wed Sep 11 20:43:40 2019,10.984,0.0,0.0
